airplane,air,0.104236,0.37,0.346289366,1,"airplane,air",2,"air,fly,airplane",3,"airplane,plane,soar,air",1,"airplane,air",11,"airplane,transportation,taxi,cab,money,million,plenty,groceries,broth,uncooked,inhale,air"
airplane,airport,0.266533,0.7,0.50861001,1,"airplane,airport",2,"airport,trip,airplane",2,"airplane,aircraft,airport",1,"airplane,airport",1,"airplane,airport"
airplane,attendant,N/A,0.42,0.159744218,-1,NOT FOUND,,,-1,NOT FOUND,-1,NOT FOUND,-1,NOT FOUND
airplane,cloud,0.076019,0.16,0.113578066,2,"airplane,air,cloud",4,"cloud,soft,pretty,model,airplane",34,"airplane,plane,pedal,halt,hamper,laundry,tide,waves,pebble,jewel,expensive,inexpensive,wager,owe,occupation,profession,student,lesson,learn,intellect,intelligent,foolish,silly,amuse,cheerful,glad,upset,weep,child,female,lady,sexy,cuddle,fluffy,cloud",2,"airplane,sky,cloud",15,"airplane,transportation,taxi,cab,money,million,plenty,groceries,broth,tapioca,tangy,thirst,water,mist,fog,cloud"
airplane,flight,0.29006,0.73,0.628650904,1,"airplane,flight",1,"flight,airplane",3,"airplane,plane,soar,flight",1,"airplane,flight",1,"airplane,flight"
airplane,food,-0.001861,0.05,0.137890413,3,"airplane,air,supply,food",3,"food,fruit,fly,airplane",9,"airplane,plane,pedal,pot,cobbler,shortcake,dessert,delicious,dinner,food",2,"airplane,peanuts,food",8,"airplane,transportation,taxi,cab,money,million,plenty,bouillon,food"
airplane,journey,0.124668,0.15,0.147871077,2,"airplane,travel,journey",2,"journey,trip,airplane",4,"airplane,passenger,chauffeur,bus,journey",2,"airplane,trip,journey",3,"airplane,transportation,baggage,journey"
airplane,luggage,0.167624,0.23,0.397178024,3,"airplane,trip,baggage,luggage",2,"luggage,trip,airplane",3,"airplane,aircraft,airport,luggage",2,"airplane,airport,luggage",2,"airplane,transportation,luggage"
airplane,meal,-0.001074,0.04,0.144845217,4,"airplane,air,supply,food,meal",3,"meal,ticket,trip,airplane",9,"airplane,plane,pedal,pot,cobbler,shortcake,dessert,delicious,dinner,meal",3,"airplane,reservation,dinner,meal",9,"airplane,transportation,taxi,cab,money,million,plenty,bouillon,food,meal"
airplane,passenger,0.344158,0.56,0.460041136,3,"airplane,pilot,driver,passenger",2,"passenger,flight,airplane",1,"airplane,passenger",2,"airplane,car,passenger",2,"airplane,transportation,passenger"
airplane,pilot,0.076019,0.75,0.448656976,1,"airplane,pilot",2,"pilot,fly,airplane",2,"airplane,aircraft,pilot",1,"airplane,pilot",1,"airplane,pilot"
airplane,runway,N/A,0.77,0.424107671,-1,NOT FOUND,,,-1,NOT FOUND,-1,NOT FOUND,-1,NOT FOUND
airplane,seat,0.067723,0.27,0.276409566,3,"airplane,helicopter,pad,seat",3,"seat,car,transportation,airplane",7,"airplane,plane,pedal,halt,rest,exhausted,couch,seat",2,"airplane,car,seat",3,"airplane,transportation,car,seat"
airplane,sky,0.061575,0.24,0.230636284,1,"airplane,sky",3,"sky,plane,fly,airplane",25,"airplane,plane,pedal,pot,cobbler,shortcake,pudding,frosting,frost,chill,cool,beverage,brandy,rum,throw up,yuck,crude,ghoul,terror,yell,whisper,shut,near,telescope,astronomy,sky",1,"airplane,sky",2,"airplane,aircraft,sky"
airplane,stewardess,0.05904,0.61,0.384210348,2,"airplane,pilot,stewardess",1,"stewardess,airplane",32,"airplane,plane,pedal,halt,hamper,laundry,tide,waves,pebble,jewel,expensive,inexpensive,wager,owe,occupation,profession,student,lesson,learn,intellect,intelligent,foolish,silly,amuse,cheerful,glad,upset,weep,child,woman,male,girl,stewardess",1,"airplane,stewardess",11,"airplane,transportation,taxi,cab,money,million,plenty,groceries,broth,seasoning,hot,stewardess"
