2,airplane,flight,"airplane,flight"
4,airplane,journey,"airplane,transportation,travel,journey"
3,airplane,trip,"airplane,transportation,trip"
3,airplane,travel,"airplane,transportation,travel"
15,airplane,wings,"airplane,transportation,taxi,cab,money,much,enough,bouillon,broth,seasoning,chili,ketchup,robin,sparrow,wings"
-1,airplane,seats,"NOT FOUND"
12,airplane,air,"airplane,transportation,taxi,cab,money,much,enough,bouillon,broth,uncooked,inhale,air"
3,airplane,sky,"airplane,aircraft,sky"
16,airplane,cloud,"airplane,transportation,taxi,cab,money,much,enough,bouillon,broth,tapioca,drink,thirst,water,mist,haze,cloud"
2,airplane,airport,"airplane,airport"
-1,airplane,runway,"NOT FOUND"
3,airplane,passenger,"airplane,transportation,passenger"
2,airplane,pilot,"airplane,pilot"
12,airplane,stewardess,"airplane,transportation,taxi,cab,money,much,enough,bouillon,broth,seasoning,hot,stewardess"
-1,airplane,flight attendant,"NOT FOUND"
10,airplane,meal,"airplane,transportation,taxi,cab,money,much,enough,bouillon,food,meal"
9,airplane,food,"airplane,transportation,taxi,cab,money,much,enough,bouillon,food"
4,airplane,suitcase,"airplane,transportation,travel,suitcase"
3,airplane,luggage,"airplane,transportation,luggage"
7,apple,red,"apple,vegetable,broth,seasoning,chili,ketchup,red"
10,apple,green,"apple,vegetable,broth,seasoning,tomato,berry,orchard,seed,shrub,green"
7,apple,orange,"apple,vegetable,broth,seasoning,tomato,berry,orange"
15,apple,worm,"apple,vegetable,broth,food,gourmet,good,worse,bad,unlawful,sheriff,deputy,vet,animal,snail,worm"
2,apple,banana,"apple,banana"
9,apple,leaf,"apple,vegetable,broth,seasoning,tomato,berry,orchard,tree,leaf"
-1,apple,seeds,"NOT FOUND"
14,apple,core,"apple,vegetable,broth,bouillon,enough,much,money,fee,terms,protractor,math,trigonometry,calculus,core"
8,apple,tree,"apple,vegetable,broth,seasoning,tomato,berry,orchard,tree"
7,apple,orchard,"apple,vegetable,broth,seasoning,tomato,berry,orchard"
10,apple,autumn,"apple,vegetable,broth,seasoning,tomato,berry,orchard,tree,leaf,autumn"
6,apple,fruit,"apple,vegetable,broth,food,pecan,fruit"
6,apple,pie,"apple,vegetable,broth,food,bake,pie"
9,apple,teacher,"apple,vegetable,broth,food,gourmet,good,recommend,assist,teacher"
6,apple,juice,"apple,vegetable,broth,tapioca,drink,juice"
-1,axe,chopping,"NOT FOUND"
-1,axe,cutting,"NOT FOUND"
-1,axe,handle,"NOT FOUND"
-1,axe,steel,"NOT FOUND"
-1,axe,metal,"NOT FOUND"
-1,axe,tree,"NOT FOUND"
-1,axe,logs,"NOT FOUND"
-1,axe,wood,"NOT FOUND"
